"id","name_th","name_en","total_laws","compliant_count","non_compliant_count","created_at"
"LA","การบริหารและการจัดการด้านความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทำงาน, สวัสดิการ","Safety, Occupational Health & Environment Management","38","80","2","2026-06-03T04:01:14.971486+00:00"
"LB","ไฟฟ้าและพลังงาน","Electricity & Energy","16","33","0","2026-06-03T04:01:14.971486+00:00"
"LC","การป้องกันและระงับอัคคีภัย","Fire Prevention & Suppression","11","30","0","2026-06-03T04:01:14.971486+00:00"
"LD","ความร้อน แสงสว่าง เสียง และสภาพแวดล้อมในการทำงาน","Heat, Lighting, Noise & Work Environment","13","29","0","2026-06-03T04:01:14.971486+00:00"
"LE","ก่อสร้าง ลิฟต์ เครื่องจักร ปั้นจั่น และงานที่มีความเสี่ยงอื่นๆ","Construction, Elevator, Machinery & High-risk Work","10","44","0","2026-06-03T04:01:14.971486+00:00"
"LF","กฎหมายเกี่ยวกับ Service จัสเทล","JasTel Service Related Laws","45","59","0","2026-06-03T04:01:14.971486+00:00"
