"id","requirement_id","law_id","plan_text","owner_dept_id","owner_name","due_date","status","evidence","closed_at","closed_by","created_at","created_by"
"1","246","30","ติดตามการประกาศหลักสูตรอบรมผู้ชำนาญการด้านความปลอดภัยฯ จากกรมสวัสดิการฯ แล้วส่งบุคลากรเข้าอบรมและขอขึ้นทะเบียนให้ครบตามข้อกำหนด","1","Safety",,"open",,,,"2026-07-12T10:08:30.887876+00:00","ระบบ (ย้ายข้อมูลเริ่มต้น)"
"2","247","31","จัดทำการประเมินอันตรายและทบทวนทุก 3 ปีตามข้อ 5 — รอประกาศหลักสูตร/แนวทางผู้ชำนาญการฯ เพื่อดำเนินการให้สอดคล้อง","1","Safety",,"open",,,,"2026-07-12T10:08:30.887876+00:00","ระบบ (ย้ายข้อมูลเริ่มต้น)"
